Id,Title
1,یقهدار
2,یقهاسکی
3,یقهگرد
4,آستینبلند
5,آستینکوتاه
6,آستینحلقه
7,یقههفت
8,طرحترمه
9,اسپرت
10,مجلسی
11,پاییزه
12,پلنگی
13,عروسکی
14,ماکسی
15,مانتویی
16,چهارخونه
17,توری
18,لانگ
19,پرنسسی
20,اورال
21,گلدوزی
22,کلاسیک
23,کلاهدار
24,تارتان
25,اسلیم
26,استردار
27,مزونی
28,خامهدوزی
29,دوبنده
30,دوجیب
31,کژوال
32,خفاشی
33,سرخپوستی
34,شطرنجی
35,یونیکورن
36,گلگلی
37,چریکی
38,دمپا
39,ورزشی
40,حولهای
41,سنبادی
42,خانگی
43,ارتشی
44,اسکی
45,دمپاکش
46,خزدار
47,طبی
48,کالج
49,کوهنوردی
50,جورابی
51,رانینگ
52,تابستانه
53,بهاره
54,یقهقایقی
55,کوتاه
56,یقهمردانه
57,استینپفی
58,استینکلوش
59,سوزندوزی
60,چاپزول
61,شش جیب
62,کارگو
63,uv400
64,دودی
65,افتابی
66,پاشنهبلند
67,پاسپورتی
68,خلبانی
69,قلبی
70,خرسی
