Id,Title,CategoryId
1,زنانه,0
2,مردانه,0
3,دخترانه,0
4,پسرانه,0
5,بچگانه,0
6,همه,0
7,لباس,1
8,کفش,1
9,اکسسوری,1
10,لباس,2
11,کفش,2
12,اکسسوری,2
13,لباس,3
14,کفش,3
15,اکسسوری,3
16,لباس,4
17,کفش,4
18,اکسسوری,4
19,لباس,5
20,کفش,5
21,اکسسوری,5
22,لباس,6
23,کفش,6
24,اکسسوری,6
27,لباس خواب و راحتی,7
29,شلوار و سرهمی,7
30,ژاکت و پلیور,7
31,لباس بارداری,7
32,لباس زمستانه,7
33,"بلوز، شومیز و تونیک",7
34,شلوارک و شورتک,7
36,لباس ورزشی,7
37,سویشرت و هودی,7
38,تیشرت و پولوشرت,7
39,"تاپ، نیم‌تنه و بادی",7
42,لباس زیر,7
43,نیم بوت,8
45,گیوه,8
47,پاشنه دار,8
49,کالج,8
50,"کیف، کوله پشتی و چمدان",9
51,عینک,9
53,دستکش,9
54,کمربند,9
55,زیورآلات,9
56,اکسسوری مو,9
57,"کلاه، شال و روسری",9
59,ساعت,9
63,شلوار,10
64,ژاکت و پلیور,10
65,لباس زمستانه,10
66,پیراهن,10
67,شلوارک,10
68,لباس ورزشی,10
69,سویشرت و هودی,10
70,تیشرت و پولوشرت,10
71,تاپ,10
72,بلوز,10
74,لباس زیر و راحتی,10
75,نیم بوت,11
76,بوت,11
77,گیوه,11
78,دمپایی,11
79,رسمی,11
81,کالج,11
82,"کیف، کوله پشتی و چمدان",12
83,عینک,12
85,دستکش,12
86,کمربند و ساسبند,12
87,زیورآلات,12
89,کلاه,12
90,کراوات و پاپیون,12
91,ساعت,12
93,لباس خواب و راحتی,13
94,تیشرت و پولوشرت,13
95,شلوار و سرهمی,13
96,شلوارک و شورتک,13
97,سویشرت و هودی,13
98,ژاکت و پلیور,13
99,لباس ورزشی,13
101,"بلوز، شومیز و تونیک",13
102,لباس مجلسی,13
103,لباس زمستانه,13
105,لباس زیر,13
107,کیف و کوله پشتی,15
108,عینک,15
110,دستکش,15
112,زیورآلات,15
113,اکسسوری مو,15
114,کلاه و شال,15
115,ساعت,15
117,لباس خواب و راحتی,16
118,"تاپ، تیشرت و پولوشرت",16
119,شلوار و سرهمی,16
120,شلوارک و شورتک,16
121,سویشرت و هودی,16
122,ژاکت و پلیور,16
123,لباس ورزشی,16
124,پیراهن,16
125,بلوز,16
127,لباس زمستانه,16
129,لباس زیر,16
131,کیف و کوله پشتی,18
132,عینک,18
138,ساعت,18
141,لباس راحتی,19
142,دامن و سارافون,19
143,ژاکت,19
144,لباس زمستانه,19
146,شلوارک,19
147,پیراهن,19
148,سویشرت و هودی,19
149,تیشرت و تاپ,19
150,جوراب و جوراب شلواری,19
152,لباس زیر,19
155,پیراهن,22
156,لباس خواب و راحتی,22
157,شلوار و سرهمی,22
158,ژاکت و پلیور,22
159,لباس زمستانه,22
160,"بلوز، شومیز و تونیک",22
161,شلوارک و شورتک,22
162,دامن و سارافون,22
163,لباس ورزشی,22
164,سویشرت و هودی,22
165,"تیشرت، پولوشرت و تاپ",22
168,لباس شنا,22
169,لباس زیر,22
170,نیم بوت,23
171,بوت,23
172,گیوه,23
173,دمپایی,23
176,کالج,23
178,"کیف، کوله پشتی و چمدان",24
179,عینک,24
181,دستکش,24
182,کمربند,24
183,زیورآلات,24
184,کلاه,24
186,ساعت,24
190,لباس خواب,27
191,لباس راحتی,27
198,شلوار,29
199,سرهمی,29
200,ژاکت,30
201,پلیور,30
203,شلوار و سرهمی بارداری,31
204,تیشرت و پولوشرت بارداری,31
